neutral	According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .
positive	EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .
positive	EPS from continuing operations came in at 0.30 eur , up from 0.17 .
positive	Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .
positive	EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .
positive	Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .
positive	Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .
positive	Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .
positive	Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .
positive	Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .
positive	Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .
positive	Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .
positive	Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .
positive	Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .
positive	Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .
positive	Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .
positive	First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .
positive	Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .
positive	For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .
positive	HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .
positive	However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .
positive	However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .
positive	Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .
positive	Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .
neutral	In 2007 , Contempus generated revenue of NOK 69.3 ( approx .
positive	In addition , Kone signed a two-year maintenance contract for the escalators .
positive	In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .
positive	In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .
positive	In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .
positive	In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .
positive	In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .
positive	In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .
positive	In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .
positive	In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .
positive	In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .
neutral	Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .
positive	Its market share widened to 48.51 percent from 48.31 percent a year earlier .
neutral	Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .
positive	Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .
positive	Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .
positive	Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .
positive	( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .
positive	( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .
positive	( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .
positive	( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1
positive	( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s
positive	Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .
neutral	M-real generated a turnover of EUR5 .6 bn in 2006 and has 15,500 employees .
positive	Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .
positive	Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .
positive	Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .
positive	Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .
positive	Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .
positive	Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .
positive	Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .
positive	Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .
positive	Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .
positive	Operating profit rose to 22.1 mln eur from 19.9 mln .
positive	Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .
positive	Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .
positive	Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .
positive	Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .
positive	Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .
positive	Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .
positive	Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .
positive	Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .
positive	Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .
positive	Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .
positive	Operating profit surged to EUR21m from EUR106 ,000 .
positive	Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .
positive	Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .
positive	Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .
positive	Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .
positive	Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .
positive	Orders received grew by 55 % year-on-year to EUR732m .
positive	Orion Pharma 's operating profit increased by 42.5 % from 2004 .
positive	Passenger volumes rose by 8.4 % in the accounting period .
positive	Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .
positive	Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .
positive	Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .
positive	Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .
positive	Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .
positive	Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .
positive	Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .
positive	Previously the company has estimated its operating profit to reach the level of 2005 only .
positive	Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .
positive	Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .
positive	Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .
positive	Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .
positive	Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .
positive	Revenues at the same time grew 14 percent to 43 million euros .
positive	Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .
positive	Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .
positive	Sales of clothing developed best .
positive	Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .
positive	Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .
positive	Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .
positive	Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .
positive	That would be an increase from estimated sales of 117 million last year .
positive	The agreement expands Tekla Structures ' scope of use to bridge design .
positive	The aim is to increase sales by at least one fifth in 2006 .
positive	The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .
positive	The company expects its net sales in 2008 to increase 5-10 % from 2007 .
positive	The company expects its net sales in the first half of 2008 to reach the previous year 's level .
positive	The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .
positive	The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .
positive	The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .
positive	The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .
positive	The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .
neutral	The firm generated sales of 187 mln eur in 2005 .
positive	The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .
positive	The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .
positive	The increase in capital stock has been registered in the Finnish Trade Register on 20 November 2006 .
positive	The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .
positive	The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .
positive	The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .
positive	The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .
positive	The transactions would increase earnings per share in the first quarter by some EUR0 .28 .
positive	There has been some recovery of the base metals prices and increased demand for metals in China , however .
positive	This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .
positive	TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .
positive	Total operating revenue grew by 27.6 % year-on-year to EUR61m .
positive	Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .
neutral	Vacon will supply drives to Ruselprom in the power range from 200 kW up to 2 MW .
positive	We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .
positive	Via the Satlan acquisition , Teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and IPTV service providers .
positive	With the acquisition , the company will expand its offering to North , Central and South America , it said .
positive	With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .
positive	YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .
positive	`` BasWare 's product sales grew strongly in the financial period , by 24 percent .
positive	`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .
positive	`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations .
positive	1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .
neutral	Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .
positive	Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo , in Finland .
positive	Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .
positive	Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .
positive	Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .
positive	Componenta 's objective with this agreement is to increase business on its existing production lines .
positive	Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .
positive	Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .
positive	Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .
positive	EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .
positive	EPS grew to 0.04 eur from 0.02 eur .
positive	Exports grew 16.5 percent to 19.1 million liters .
positive	Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .
positive	Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .
positive	Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 .
positive	Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .
positive	GeoSentric Oyj s GeoSolutions Business Unit GyPSii , the mobile digital lifestyle application and geo-mobility social networking platform , has signed an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile .
positive	HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .
positive	However , the proportion of the paid standing orders grew in 2009 .
positive	In addition to the demand in Finland , the export of lining stone products also increased .
positive	In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .
positive	In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .
positive	In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .
positive	In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million .
positive	Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .
positive	Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .
positive	ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe .
positive	Marimekko Group 's full-year net sales are estimated to increase by about 10 % .
positive	Net sales surged by 30 % to EUR 36 million .
positive	Net sales went up by 1 % year-on-year to EUR 29 million , affected by the business acquisitions , realized during the previous financial period , the effect of which was EUR 5.1 million on the review period .
positive	Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .
positive	Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .
positive	October-December sales were 302 mln eur , or a 25.3 pct increase year on year .
positive	Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .
positive	Olvi expects sales and market share to increase in the first quarter of 2010 .
neutral	Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks .
positive	Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .
positive	Operating profit of the Asian plants grew markedly .
positive	Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .
positive	Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .
positive	Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .
positive	Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .
positive	Profit per share was EUR 1.03 , up from EUR 0.87 .
positive	Return on capital employed rose by 4.8 percentage points to 19.6 % .
positive	Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday .
positive	Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .
positive	Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .
positive	Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .
positive	Sales in Finland rose by 3.9 % and international growth was 0.7 % .
positive	Sales of security and system packaging increased slightly .
positive	Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .
positive	Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .
positive	The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .
positive	The company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper .
positive	The company 's market share is continued to increase further .
positive	The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .
positive	The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .
positive	The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .
positive	The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .
positive	The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .
positive	The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .
positive	The group 's 12-month operating profit grew 31 percent to 337.8 million euros .
positive	The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .
positive	The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .
positive	The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .
positive	The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .
positive	The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .
positive	The value of the firm 's forestry holdings increased by SEK 3.6 bn .
positive	This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .
positive	Turnover rose to EUR21m from EUR17m .
positive	Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .
positive	YIT Construction and the town of Riihim+Æki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .
positive	The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .
neutral	The Finnish company Stockmann has signed the contract with the company Technopolis .
neutral	According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .
neutral	As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .
neutral	At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .
neutral	Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .
neutral	Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m .
positive	Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .
neutral	Lemminkainen Oyj said that it has signed credit agreements with Nordea Bank STO : NDA , Pohjola Bank HEL : POH1S , Sampo Bank HEL : SAMAS and Svenska Handelsbanken STO : SHB A .
neutral	Pohjola could increase its stake to 45 % in 2013 .
neutral	Scandic Feed will also diversify Tosno 's product portfolio further .
positive	Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .
neutral	The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .
positive	The company intends to raise production capacity in 2006 .
neutral	The estimated value of the contract is EUR12 .4 m. Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .
neutral	The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .
